City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain,Snow
Mehamn,NO,71.04,27.85,50.0,71,53,6.93,,0.0,0
Kurumkan,RU,54.3,110.3,67.41,54,49,2.24,,0.0,0
Port Lincoln,AU,-34.73,135.87,52.61,77,90,8.63,,0.0,0
Puerto Ayora,EC,-0.74,-90.35,78.8,61,20,8.05,,0.0,0
Ilmajoki,FI,62.73,22.57,60.01,54,9,5.82,,0.0,0
Along,IN,28.17,94.77,75.22,88,99,0.83,,1.53,0
Rikitea,PF,-23.12,-134.97,71.37,72,68,21.36,,0.0,0
Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,8.05,,0.0,0
Bambous Virieux,MU,-20.34,57.76,73.0,64,75,10.29,,0.0,0
Punta Arenas,CL,-53.15,-70.92,33.8,94,90,4.7,,0.0,0
Thompson,CA,55.74,-97.86,78.8,50,20,3.36,,0.0,0
Cape Town,ZA,-33.93,18.42,51.01,87,6,3.36,,0.0,0
Tessalit,ML,20.2,1.01,104.47,7,0,14.97,,0.0,0
Vardo,NO,70.37,31.11,50.0,81,92,11.41,,0.0,0
Atuona,PF,-9.8,-139.03,79.75,79,4,24.87,,0.15,0
Acapulco,MX,16.86,-99.89,89.6,52,40,6.11,,0.0,0
Geraldton,AU,-28.77,114.6,62.6,39,27,20.8,,0.0,0
Cabo San Lucas,MX,22.89,-109.91,93.2,62,20,9.17,,0.0,0
Torbay,CA,47.67,-52.73,48.99,87,90,14.99,,0.0,0
Vaini,TO,-21.2,-175.2,68.0,77,40,8.05,,0.0,0
Gorontalo,ID,0.54,123.06,74.17,90,100,1.83,,0.0,0
Spirit River,CA,55.78,-118.84,55.0,81,75,16.11,,0.0,0
Usinsk,RU,65.99,57.53,59.7,82,17,8.99,,0.0,0
Jamestown,US,42.1,-79.24,82.4,58,1,14.99,,0.0,0
Fort Nelson,CA,58.81,-122.7,50.0,93,90,8.05,,0.0,0
Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,,0.0,0
Hithadhoo,MV,-0.6,73.08,85.33,65,93,7.45,,0.0,0
Codrington,AU,-38.27,141.97,49.33,88,91,10.54,,0.18,0
Nikolskoye,RU,59.7,30.79,66.2,52,77,1.25,,0.0,0
Yellowknife,CA,62.46,-114.35,62.6,67,75,11.41,,0.0,0
New Norfolk,AU,-42.78,147.06,44.01,87,84,3.0,,0.0,0
Tuatapere,NZ,-46.13,167.68,39.0,83,100,3.0,,0.12,0
Tiksi,RU,71.69,128.87,34.29,93,100,13.09,,0.34,0
Ponta Do Sol,PT,32.67,-17.1,71.01,64,4,8.28,,0.0,0
Pangody,RU,65.85,74.49,59.43,93,97,10.98,,0.0,0
Dikson,RU,73.51,80.55,51.73,67,69,15.95,,0.0,0
Saldanha,ZA,-33.01,17.94,51.8,81,10,5.82,,0.0,0
Luderitz,NA,-26.65,15.16,69.8,40,0,4.7,,0.0,0
Bulolo,PG,-7.2,146.65,68.61,77,88,0.89,,0.0,0
Saint-Andre-Avellin,CA,45.72,-75.07,86.0,48,40,3.36,,0.0,0
Torquay,GB,50.46,-3.51,60.01,93,99,8.99,,0.25,0
