City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-06-25 21:54:07,-33.65,115.33,51.01,75,62,12.15
1,Bluff,NZ,2020-06-25 21:54:07,-46.6,168.33,39.0,83,1,3.0
2,Sola,VU,2020-06-25 21:54:08,-13.88,167.55,80.6,94,75,5.82
3,Saldanha,ZA,2020-06-25 21:54:08,-33.01,17.94,57.2,93,93,6.93
4,Vestmanna,FO,2020-06-25 21:54:08,62.16,-7.17,51.8,87,100,6.93
5,Avarua,CK,2020-06-25 21:54:08,-21.21,-159.78,75.2,60,30,5.82
6,Puerto Ayora,EC,2020-06-25 21:54:08,-0.74,-90.35,78.8,61,74,13.87
7,Pochutla,MX,2020-06-25 21:54:08,15.74,-96.47,89.6,55,90,11.41
8,Port Alfred,ZA,2020-06-25 21:54:08,-33.59,26.89,70.0,31,0,7.0
9,Clyde River,CA,2020-06-25 21:54:08,70.47,-68.59,48.2,81,20,10.29
10,Tiverton,GB,2020-06-25 21:51:06,50.9,-3.48,66.99,77,20,3.36
11,Butaritari,KI,2020-06-25 21:54:08,3.07,172.79,83.28,70,50,11.25
12,Thompson,CA,2020-06-25 21:54:09,55.74,-97.86,64.4,93,90,2.24
13,Korla,CN,2020-06-25 21:54:09,41.76,86.15,70.25,40,93,9.26
14,Faya,SA,2020-06-25 21:54:09,18.39,42.45,71.6,43,0,3.13
15,Gravdal,NO,2020-06-25 21:54:09,68.12,13.5,52.52,86,92,16.64
16,Mar Del Plata,AR,2020-06-25 21:54:09,-38.0,-57.56,45.0,87,40,6.93
17,Qaanaaq,GL,2020-06-25 21:54:09,77.48,-69.36,38.97,78,8,3.98
18,Kodiak,US,2020-06-25 21:54:09,57.79,-152.41,51.8,76,90,16.11
19,Albany,US,2020-06-25 21:54:10,42.6,-73.97,82.0,36,53,1.01
20,Marsa Matruh,EG,2020-06-25 21:54:10,31.35,27.25,71.6,83,0,5.82
21,Ribeira Grande,PT,2020-06-25 21:54:10,38.52,-28.7,66.15,87,52,10.89
22,Hobart,AU,2020-06-25 21:50:50,-42.88,147.33,44.6,65,20,8.05
23,Ushuaia,AR,2020-06-25 21:54:10,-54.8,-68.3,35.6,80,40,20.8
24,Nouakchott,MR,2020-06-25 21:54:10,18.09,-15.98,78.8,74,10,19.46
25,Hithadhoo,MV,2020-06-25 21:54:10,-0.6,73.08,84.0,76,44,10.29
26,Tuktoyaktuk,CA,2020-06-25 21:54:10,69.45,-133.04,50.0,46,75,11.41
27,Cape Town,ZA,2020-06-25 21:51:20,-33.93,18.42,59.0,93,75,12.75
28,Punta Arenas,CL,2020-06-25 21:54:10,-53.15,-70.92,32.0,86,13,5.82
29,Roma,US,2020-06-25 21:54:05,43.21,-75.46,77.0,41,90,3.36
30,Tiksi,RU,2020-06-25 21:54:11,71.69,128.87,48.29,82,53,4.72
31,Sistranda,NO,2020-06-25 21:54:11,63.73,8.83,62.6,63,21,4.7
32,Pevek,RU,2020-06-25 21:54:11,69.7,170.31,34.29,91,49,16.84
33,Rikitea,PF,2020-06-25 21:54:11,-23.12,-134.97,74.44,83,61,22.32
34,Adrar,MR,2020-06-25 21:54:11,20.5,-10.07,98.69,8,0,11.86
35,Norman Wells,CA,2020-06-25 21:54:11,65.28,-126.83,57.2,71,75,3.36
36,Baniyas,SY,2020-06-25 21:54:11,35.18,35.95,69.8,83,0,3.36
37,Lianran,CN,2020-06-25 21:54:12,24.92,102.48,68.0,100,90,8.95
38,Maldonado,UY,2020-06-25 21:54:12,-34.67,-54.92,52.0,66,40,17.22
39,Bambous Virieux,MU,2020-06-25 21:54:12,-20.34,57.76,73.0,78,40,11.41
40,Gushikawa,JP,2020-06-25 21:54:12,26.35,127.87,78.8,88,75,3.36
41,East London,ZA,2020-06-25 21:50:40,-33.02,27.91,69.04,25,0,9.46
42,Mataura,NZ,2020-06-25 21:54:12,-46.19,168.86,39.0,83,13,3.0
43,Praia,CV,2020-06-25 21:54:12,14.92,-23.51,77.0,73,40,18.34
44,Del Rio,US,2020-06-25 21:51:48,29.36,-100.9,98.6,30,75,10.29
45,Yokadouma,CM,2020-06-25 21:54:12,3.52,15.05,70.45,93,100,1.74
